date,Country,continent,age,total_cases,deaths,recoveries
11-07-2020,Japan,Asia,35.0,20000.0,20000.0,900000.0
07-07-2021,Thailand,Asia,45.0,1000000.0,60000.0,900000.0
27-07-2021,Nepal,Asia,45.0,1000000.0,20000.0,900000.0
02-06-2021,USA,North America,60.0,1500000.0,90000.0,900000.0
09-09-2022,Thailand,Asia,25.0,2000000.0,5000.0,450000.0
07-11-2021,Brazil,South America,55.0,1500000.0,100.0,18000.0
07-10-2020,UK,Europe,55.0,500000.0,90000.0,900000.0
22-01-2021,Turkey,Europe,35.0,500000.0,90000.0,900000.0
26-12-2020,Argentina,South America,25.0,1000000.0,5000.0,18000.0
07-04-2021,Bangladesh,Asia,45.0,500000.0,5000.0,450000.0
15-10-2021,France,Europe,45.0,500000.0,20000.0,900000.0
10-06-2021,Australia,Oceania,60.0,20000.0,60000.0,900000.0
12-07-2022,Mexico,North America,45.0,1000000.0,90000.0,450000.0
19-07-2022,Germany,Europe,55.0,20000.0,20000.0,1800000.0
14-07-2021,UK,Europe,55.0,500000.0,20000.0,450000.0
17-06-2021,Germany,Europe,60.0,1000000.0,60000.0,900000.0
25-03-2022,Thailand,Asia,55.0,20000.0,60000.0,18000.0
14-08-2020,South Africa,Africa,55.0,1500000.0,60000.0,900000.0
22-07-2022,Spain,Europe,45.0,500000.0,5000.0,1200000.0
07-03-2022,Bangladesh,Asia,60.0,1000000.0,60000.0,900000.0
13-06-2021,Canada,North America,45.0,1000000.0,60000.0,1800000.0
03-09-2022,USA,North America,35.0,1000000.0,90000.0,450000.0
14-06-2022,Brazil,South America,65.0,500000.0,20000.0,450000.0
21-03-2022,Australia,Oceania,45.0,1000000.0,100.0,900000.0
13-08-2022,Nepal,Asia,55.0,1000000.0,90000.0,1200000.0
06-05-2022,Germany,Europe,35.0,1000000.0,90000.0,900000.0
20-07-2021,India,Asia,35.0,1500000.0,20000.0,900000.0
01-04-2020,Australia,Oceania,55.0,500000.0,100.0,900000.0
12-12-2021,Italy,Europe,60.0,1500000.0,20000.0,900000.0
26-01-2021,France,Europe,35.0,1000000.0,20000.0,900000.0
19-01-2020,Thailand,Asia,25.0,500000.0,5000.0,450000.0
05-04-2020,South Korea,Asia,25.0,1000000.0,60000.0,18000.0
12-06-2020,Argentina,South America,55.0,1000000.0,90000.0,450000.0
22-07-2022,Nigeria,Africa,45.0,1000000.0,100.0,1200000.0
20-06-2022,Indonesia,Asia,35.0,2000000.0,20000.0,450000.0
06-02-2021,South Korea,Asia,35.0,2000000.0,5000.0,900000.0
05-04-2020,Malaysia,Asia,35.0,20000.0,20000.0,18000.0
12-08-2022,Saudi Arabia,Asia,60.0,1000000.0,90000.0,1800000.0
14-11-2021,Brazil,South America,55.0,1500000.0,100.0,900000.0
11-07-2020,India,Asia,60.0,1000000.0,20000.0,900000.0
29-09-2021,Nigeria,Africa,60.0,20000.0,60000.0,900000.0
05-04-2020,Indonesia,Asia,55.0,20000.0,20000.0,900000.0
18-05-2021,South Africa,Africa,25.0,1500000.0,20000.0,1200000.0
05-04-2022,France,Europe,55.0,2000000.0,100.0,450000.0
13-03-2021,Germany,Europe,65.0,2000000.0,60000.0,1200000.0
05-02-2021,USA,North America,55.0,1000000.0,100.0,900000.0
23-07-2022,Brazil,South America,25.0,20000.0,60000.0,450000.0
07-08-2020,Iran,Asia,60.0,20000.0,20000.0,900000.0
04-05-2021,Brazil,South America,65.0,1000000.0,60000.0,1200000.0
11-01-2022,Malaysia,Asia,45.0,1000000.0,20000.0,1800000.0
12-09-2022,Mexico,North America,25.0,1000000.0,20000.0,1200000.0
16-12-2020,Brazil,South America,55.0,20000.0,60000.0,450000.0
02-08-2020,South Africa,Africa,60.0,2000000.0,20000.0,900000.0
19-11-2021,India,Asia,60.0,2000000.0,20000.0,900000.0
27-03-2020,Nigeria,Africa,35.0,500000.0,90000.0,1200000.0
14-03-2022,Nigeria,Africa,55.0,1000000.0,60000.0,450000.0
19-03-2020,India,Asia,55.0,20000.0,100.0,18000.0
02-11-2021,France,Europe,65.0,2000000.0,60000.0,900000.0
11-02-2022,Italy,Europe,25.0,500000.0,100.0,450000.0
18-03-2022,Turkey,Europe,45.0,1500000.0,90000.0,900000.0
04-06-2022,Japan,Asia,45.0,2000000.0,100.0,1200000.0
20-04-2021,China,Asia,25.0,1000000.0,20000.0,1800000.0
17-03-2022,Thailand,Asia,55.0,2000000.0,60000.0,1800000.0
07-02-2021,Sri Lanka,Asia,55.0,1000000.0,100.0,18000.0
22-01-2020,Argentina,South America,25.0,500000.0,20000.0,900000.0
19-04-2022,Malaysia,Asia,60.0,1000000.0,100.0,18000.0
16-03-2021,Argentina,South America,55.0,1000000.0,20000.0,900000.0
04-11-2021,Nigeria,Africa,35.0,2000000.0,20000.0,900000.0
23-02-2022,USA,North America,60.0,20000.0,100.0,900000.0
27-07-2022,Vietnam,Asia,60.0,1500000.0,60000.0,1200000.0
23-09-2022,Egypt,Africa,65.0,2000000.0,100.0,1800000.0
10-07-2021,Iran,Asia,45.0,20000.0,60000.0,1800000.0
24-08-2021,Brazil,South America,45.0,500000.0,20000.0,450000.0
26-02-2021,France,Europe,55.0,1500000.0,60000.0,18000.0
25-07-2022,Mexico,North America,35.0,1500000.0,100.0,450000.0
25-07-2020,Italy,Europe,35.0,500000.0,90000.0,1800000.0
09-01-2021,Germany,Europe,55.0,20000.0,60000.0,450000.0
01-12-2021,Nigeria,Africa,65.0,1500000.0,60000.0,900000.0
13-07-2021,Spain,Europe,25.0,1000000.0,90000.0,900000.0
23-08-2021,Indonesia,Asia,35.0,500000.0,20000.0,900000.0
10-03-2022,Australia,Oceania,55.0,2000000.0,20000.0,450000.0
10-02-2020,Nigeria,Africa,35.0,1500000.0,20000.0,900000.0
18-02-2022,China,Asia,45.0,2000000.0,100.0,900000.0
30-07-2020,India,Asia,65.0,20000.0,60000.0,1200000.0
17-04-2020,Argentina,South America,45.0,20000.0,90000.0,1800000.0
31-01-2022,Mexico,North America,65.0,1000000.0,90000.0,1800000.0
18-09-2020,Indonesia,Asia,25.0,1000000.0,20000.0,1800000.0
10-10-2021,Egypt,Africa,35.0,1000000.0,90000.0,18000.0
29-08-2021,Malaysia,Asia,65.0,1000000.0,20000.0,900000.0
07-06-2022,Nigeria,Africa,65.0,1500000.0,20000.0,18000.0
02-06-2021,Iran,Asia,45.0,1000000.0,60000.0,900000.0
30-04-2022,Russia,Europe,35.0,1000000.0,100.0,1200000.0
11-07-2020,South Africa,Africa,55.0,2000000.0,5000.0,900000.0
16-07-2022,South Korea,Asia,55.0,1500000.0,90000.0,1200000.0
22-03-2020,Japan,Asia,45.0,1500000.0,100.0,900000.0
30-04-2022,Sri Lanka,Asia,65.0,2000000.0,60000.0,450000.0
12-04-2021,Canada,North America,45.0,20000.0,20000.0,1200000.0
02-06-2020,Nepal,Asia,65.0,500000.0,20000.0,1800000.0
16-10-2021,Indonesia,Asia,65.0,20000.0,60000.0,450000.0
22-08-2022,Turkey,Europe,60.0,1000000.0,60000.0,450000.0
11-12-2021,Japan,Asia,25.0,2000000.0,90000.0,450000.0
09-12-2020,India,Asia,65.0,2000000.0,90000.0,900000.0
31-01-2020,Vietnam,Asia,55.0,20000.0,5000.0,1200000.0
14-07-2021,Mexico,North America,60.0,20000.0,5000.0,1200000.0
17-06-2020,Italy,Europe,25.0,1000000.0,90000.0,900000.0
17-05-2022,India,Asia,55.0,500000.0,90000.0,18000.0
25-02-2020,Thailand,Asia,25.0,1000000.0,90000.0,1200000.0
27-01-2022,Russia,Europe,45.0,500000.0,100.0,450000.0
18-12-2021,Nigeria,Africa,65.0,2000000.0,20000.0,900000.0
29-10-2020,South Korea,Asia,55.0,1000000.0,20000.0,900000.0
05-03-2021,Sri Lanka,Asia,25.0,2000000.0,60000.0,1200000.0
20-06-2020,Argentina,South America,55.0,500000.0,20000.0,1200000.0
11-01-2020,Argentina,South America,60.0,20000.0,20000.0,900000.0
03-01-2022,India,Asia,55.0,2000000.0,20000.0,900000.0
09-11-2021,Indonesia,Asia,60.0,2000000.0,100.0,1200000.0
16-09-2020,Turkey,Europe,55.0,20000.0,60000.0,1200000.0
26-01-2020,Malaysia,Asia,55.0,2000000.0,5000.0,450000.0
18-03-2022,South Africa,Africa,60.0,1000000.0,20000.0,1200000.0
24-03-2022,China,Asia,65.0,1000000.0,90000.0,900000.0
28-01-2022,Italy,Europe,35.0,1500000.0,20000.0,900000.0
25-12-2021,France,Europe,55.0,20000.0,5000.0,18000.0
01-04-2021,Argentina,South America,55.0,1500000.0,90000.0,1800000.0
24-06-2021,Egypt,Africa,55.0,1500000.0,60000.0,900000.0
12-11-2021,Spain,Europe,60.0,500000.0,90000.0,1200000.0
07-03-2021,Bangladesh,Asia,35.0,1000000.0,20000.0,900000.0
01-09-2021,USA,North America,55.0,2000000.0,20000.0,900000.0
20-08-2021,Vietnam,Asia,55.0,20000.0,20000.0,18000.0
03-10-2020,Japan,Asia,65.0,1000000.0,60000.0,900000.0
13-03-2021,Spain,Europe,45.0,1500000.0,20000.0,1800000.0
09-02-2021,Vietnam,Asia,65.0,20000.0,5000.0,900000.0
10-05-2020,Malaysia,Asia,35.0,1000000.0,60000.0,18000.0
12-05-2022,Mexico,North America,55.0,2000000.0,60000.0,1800000.0
02-04-2021,Pakistan,Asia,45.0,500000.0,60000.0,18000.0
14-10-2020,Bangladesh,Asia,25.0,1000000.0,20000.0,900000.0
26-08-2022,Malaysia,Asia,55.0,1000000.0,60000.0,18000.0
01-10-2020,Brazil,South America,55.0,1000000.0,90000.0,900000.0
17-01-2020,Japan,Asia,55.0,2000000.0,100.0,900000.0
13-08-2021,Malaysia,Asia,45.0,1000000.0,20000.0,1800000.0
04-08-2022,Brazil,South America,45.0,1500000.0,90000.0,900000.0
06-07-2022,Sri Lanka,Asia,35.0,1000000.0,20000.0,18000.0
11-08-2020,USA,North America,55.0,1000000.0,60000.0,900000.0
09-02-2022,Brazil,South America,35.0,1000000.0,5000.0,1200000.0
20-02-2022,Vietnam,Asia,25.0,20000.0,20000.0,900000.0
24-05-2020,Indonesia,Asia,45.0,20000.0,20000.0,900000.0
07-04-2020,Italy,Europe,60.0,2000000.0,90000.0,18000.0
12-03-2021,Nigeria,Africa,65.0,20000.0,90000.0,1200000.0
23-10-2021,Sri Lanka,Asia,25.0,1000000.0,100.0,1800000.0
15-04-2021,Russia,Europe,60.0,1000000.0,100.0,1200000.0
13-08-2022,China,Asia,25.0,1000000.0,100.0,450000.0
12-01-2021,Nepal,Asia,65.0,1500000.0,20000.0,1200000.0
07-03-2022,Japan,Asia,55.0,20000.0,20000.0,1200000.0
01-02-2022,Malaysia,Asia,65.0,20000.0,60000.0,450000.0
28-07-2020,Pakistan,Asia,45.0,1000000.0,20000.0,450000.0
21-01-2021,Japan,Asia,55.0,500000.0,60000.0,18000.0
15-06-2020,Egypt,Africa,45.0,20000.0,100.0,900000.0
13-07-2022,Brazil,South America,55.0,2000000.0,100.0,18000.0
25-05-2022,Russia,Europe,55.0,2000000.0,20000.0,18000.0
12-02-2022,Nepal,Asia,55.0,1000000.0,60000.0,900000.0
06-12-2021,Russia,Europe,65.0,20000.0,20000.0,900000.0
09-07-2020,Japan,Asia,25.0,2000000.0,20000.0,18000.0
05-02-2021,Vietnam,Asia,65.0,2000000.0,100.0,1200000.0
27-02-2021,Germany,Europe,25.0,1000000.0,20000.0,1800000.0
03-05-2020,China,Asia,65.0,1000000.0,90000.0,1200000.0
06-07-2021,Turkey,Europe,45.0,1000000.0,60000.0,18000.0
14-07-2022,Mexico,North America,65.0,1500000.0,60000.0,900000.0
06-08-2021,Russia,Europe,60.0,500000.0,20000.0,1200000.0
29-06-2022,Spain,Europe,65.0,1000000.0,90000.0,18000.0
08-08-2022,India,Asia,65.0,1500000.0,60000.0,1200000.0
21-07-2021,Brazil,South America,55.0,2000000.0,20000.0,900000.0
07-08-2020,Nigeria,Africa,55.0,1000000.0,5000.0,1800000.0
27-02-2020,Nepal,Asia,35.0,2000000.0,20000.0,900000.0
03-07-2020,Canada,North America,65.0,1500000.0,20000.0,450000.0
09-05-2022,France,Europe,25.0,1000000.0,90000.0,900000.0
08-06-2022,Nepal,Asia,55.0,20000.0,60000.0,1200000.0
21-10-2021,Saudi Arabia,Asia,35.0,1000000.0,100.0,1800000.0
16-08-2022,France,Europe,60.0,20000.0,100.0,1800000.0
21-09-2020,France,Europe,25.0,1500000.0,20000.0,1800000.0
16-09-2021,Vietnam,Asia,35.0,2000000.0,60000.0,450000.0
06-03-2021,Italy,Europe,65.0,1500000.0,100.0,1200000.0
04-08-2021,France,Europe,55.0,20000.0,5000.0,900000.0
03-04-2021,Canada,North America,65.0,1500000.0,20000.0,18000.0
04-04-2020,Nepal,Asia,60.0,1000000.0,60000.0,900000.0
03-10-2020,Nepal,Asia,65.0,500000.0,60000.0,900000.0
10-12-2020,Indonesia,Asia,60.0,2000000.0,20000.0,18000.0
28-01-2021,South Africa,Africa,60.0,1000000.0,60000.0,18000.0
03-08-2020,Brazil,South America,45.0,2000000.0,5000.0,900000.0
04-12-2020,Indonesia,Asia,65.0,1000000.0,20000.0,18000.0
25-06-2021,India,Asia,55.0,20000.0,60000.0,1800000.0
02-09-2020,Mexico,North America,65.0,2000000.0,60000.0,900000.0
16-12-2020,China,Asia,55.0,500000.0,20000.0,900000.0
17-02-2022,Egypt,Africa,65.0,1000000.0,20000.0,450000.0
08-04-2021,Indonesia,Asia,55.0,20000.0,5000.0,900000.0
20-04-2020,China,Asia,25.0,2000000.0,100.0,900000.0
18-01-2021,China,Asia,65.0,500000.0,20000.0,1200000.0
10-05-2022,Canada,North America,25.0,1000000.0,60000.0,900000.0
01-09-2020,Germany,Europe,65.0,1000000.0,20000.0,1800000.0
02-07-2022,Canada,North America,45.0,20000.0,60000.0,1200000.0
26-03-2020,Brazil,South America,60.0,500000.0,100.0,900000.0
12-11-2020,Russia,Europe,45.0,1500000.0,5000.0,1800000.0
02-08-2020,Russia,Europe,55.0,500000.0,90000.0,1200000.0
07-01-2021,UK,Europe,60.0,20000.0,20000.0,450000.0
20-04-2021,Canada,North America,55.0,2000000.0,20000.0,1200000.0
16-02-2022,Nigeria,Africa,55.0,2000000.0,90000.0,900000.0
29-09-2020,Malaysia,Asia,55.0,2000000.0,20000.0,450000.0
03-01-2022,Nepal,Asia,45.0,1500000.0,100.0,900000.0
12-04-2021,USA,North America,25.0,2000000.0,20000.0,900000.0
30-01-2022,Nepal,Asia,35.0,2000000.0,60000.0,450000.0
27-01-2020,Malaysia,Asia,35.0,20000.0,5000.0,900000.0
14-08-2022,Malaysia,Asia,65.0,2000000.0,20000.0,1200000.0
22-12-2021,Argentina,South America,60.0,1500000.0,5000.0,450000.0
10-09-2020,Canada,North America,60.0,1000000.0,60000.0,1800000.0
01-11-2021,USA,North America,55.0,1000000.0,90000.0,900000.0
13-05-2021,Saudi Arabia,Asia,35.0,500000.0,60000.0,18000.0
12-02-2022,Argentina,South America,60.0,2000000.0,60000.0,1800000.0
22-12-2020,France,Europe,60.0,20000.0,20000.0,900000.0
23-11-2020,Spain,Europe,45.0,500000.0,90000.0,450000.0
15-07-2021,Japan,Asia,25.0,1000000.0,90000.0,900000.0
19-04-2021,South Africa,Africa,60.0,1000000.0,20000.0,900000.0
01-06-2021,Argentina,South America,35.0,1000000.0,5000.0,1200000.0
19-03-2022,Nigeria,Africa,55.0,2000000.0,100.0,18000.0
27-12-2020,South Africa,Africa,60.0,1000000.0,20000.0,1200000.0
15-06-2022,Sri Lanka,Asia,25.0,1000000.0,90000.0,900000.0
01-02-2022,Saudi Arabia,Asia,35.0,1000000.0,5000.0,900000.0
18-01-2020,Argentina,South America,35.0,500000.0,60000.0,18000.0
04-08-2022,Sri Lanka,Asia,55.0,1500000.0,20000.0,18000.0
15-08-2020,Iran,Asia,45.0,2000000.0,20000.0,900000.0
11-04-2022,Argentina,South America,65.0,1500000.0,100.0,900000.0
15-09-2022,Malaysia,Asia,60.0,1500000.0,20000.0,1800000.0
22-10-2020,Iran,Asia,55.0,1000000.0,60000.0,450000.0
26-05-2021,South Korea,Asia,55.0,1000000.0,20000.0,900000.0
14-07-2021,Nigeria,Africa,55.0,500000.0,100.0,900000.0
11-05-2021,Australia,Oceania,45.0,20000.0,20000.0,900000.0
19-02-2020,Thailand,Asia,60.0,500000.0,60000.0,900000.0
27-05-2020,Russia,Europe,45.0,1500000.0,5000.0,900000.0
28-05-2020,China,Asia,25.0,20000.0,90000.0,900000.0
02-06-2020,Brazil,South America,65.0,1000000.0,5000.0,900000.0
05-10-2021,Nigeria,Africa,35.0,500000.0,20000.0,900000.0
02-05-2022,Canada,North America,60.0,20000.0,60000.0,900000.0
15-05-2021,France,Europe,35.0,1500000.0,100.0,900000.0
30-11-2020,France,Europe,60.0,1500000.0,5000.0,900000.0
09-02-2021,Pakistan,Asia,65.0,500000.0,5000.0,450000.0
16-09-2022,South Korea,Asia,55.0,500000.0,20000.0,450000.0
18-10-2020,Egypt,Africa,55.0,1000000.0,5000.0,900000.0
22-08-2021,Mexico,North America,60.0,20000.0,20000.0,900000.0
13-05-2022,USA,North America,55.0,1000000.0,20000.0,900000.0
22-09-2020,Egypt,Africa,55.0,500000.0,100.0,1200000.0
23-01-2022,South Korea,Asia,60.0,1500000.0,5000.0,1800000.0
04-05-2021,Egypt,Africa,65.0,20000.0,60000.0,900000.0
29-05-2020,South Africa,Africa,60.0,1000000.0,60000.0,450000.0
17-04-2020,Malaysia,Asia,55.0,500000.0,20000.0,450000.0
08-06-2022,Indonesia,Asia,65.0,1000000.0,20000.0,1800000.0
22-06-2022,Pakistan,Asia,55.0,500000.0,5000.0,900000.0
13-04-2022,Australia,Oceania,60.0,1000000.0,90000.0,1800000.0
16-11-2021,Pakistan,Asia,65.0,1500000.0,100.0,450000.0
28-08-2022,USA,North America,25.0,1000000.0,90000.0,18000.0
06-03-2022,Indonesia,Asia,55.0,1000000.0,5000.0,900000.0
29-11-2021,Nigeria,Africa,55.0,1000000.0,20000.0,18000.0
27-09-2021,South Africa,Africa,65.0,1000000.0,90000.0,18000.0
18-01-2021,USA,North America,65.0,1500000.0,5000.0,1200000.0
27-10-2020,South Korea,Asia,65.0,20000.0,5000.0,1800000.0
29-12-2021,Egypt,Africa,35.0,1500000.0,100.0,18000.0
01-01-2022,South Africa,Africa,55.0,500000.0,20000.0,450000.0
10-08-2022,Australia,Oceania,45.0,500000.0,5000.0,900000.0
26-11-2020,Pakistan,Asia,55.0,1000000.0,5000.0,18000.0
07-08-2020,Italy,Europe,60.0,1000000.0,5000.0,1800000.0
30-09-2020,Iran,Asia,60.0,500000.0,90000.0,18000.0
05-05-2020,Australia,Oceania,55.0,2000000.0,20000.0,1800000.0
28-08-2020,Argentina,South America,55.0,2000000.0,100.0,900000.0
06-08-2020,Egypt,Africa,55.0,1000000.0,100.0,18000.0
23-10-2021,UK,Europe,55.0,1000000.0,100.0,1200000.0
31-01-2022,Italy,Europe,55.0,500000.0,5000.0,450000.0
26-02-2022,UK,Europe,55.0,1000000.0,60000.0,1800000.0
20-04-2020,Nigeria,Africa,45.0,1000000.0,90000.0,900000.0
29-06-2022,Iran,Asia,55.0,1000000.0,100.0,18000.0
04-03-2022,Iran,Asia,55.0,20000.0,90000.0,1800000.0
07-03-2021,Nepal,Asia,45.0,2000000.0,60000.0,450000.0
04-04-2022,Egypt,Africa,55.0,1500000.0,90000.0,1800000.0
05-12-2020,Vietnam,Asia,55.0,2000000.0,20000.0,18000.0
03-09-2021,UK,Europe,45.0,20000.0,60000.0,1200000.0
17-02-2021,South Africa,Africa,60.0,500000.0,90000.0,18000.0
24-05-2021,France,Europe,55.0,1000000.0,100.0,900000.0
21-10-2021,Egypt,Africa,25.0,500000.0,100.0,900000.0
15-10-2020,Indonesia,Asia,60.0,1000000.0,20000.0,450000.0
04-09-2020,Australia,Oceania,25.0,1000000.0,20000.0,1800000.0
